Epoch;TotalLivingAnimals;TotalDeadAnimals;TotalPlants;MeanEnergy;MeanLifespan;MeanChildrenCount;DominatingGenome
333;132;395;34;39.45;35.15;2.61;00011111111111112223455555566777
334;132;397;31;39.98;35.52;2.60;00011111111111112223455555566777
335;134;400;31;39.04;36.68;2.54;00011111111111112223455555566777
336;136;400;28;38.97;36.57;2.54;00011111111111112223455555566777
337;134;403;24;40.35;36.78;2.56;00011111111111112223455555566777
338;134;404;25;39.66;36.70;2.57;00011111111111112223455555566777
339;132;407;24;40.19;37.20;2.56;00011111111111112223455555566777
340;130;410;24;40.43;37.42;2.58;00011111111111112223455555566777
341;133;412;24;39.17;37.87;2.50;00000000000000112334444445555567
342;133;415;24;38.80;38.36;2.47;00000000000000112334444445555567
343;129;420;26;39.01;39.35;2.47;00000000000000112334444445555567
344;129;421;28;38.02;39.28;2.49;00000000000000112334444445555567
345;127;425;27;38.59;39.61;2.54;00000000000000112334444445555567
346;128;426;27;37.93;40.15;2.49;00000000000000112334444445555567
347;129;428;26;37.60;40.20;2.49;00000000000000112334444445555567
348;131;430;28;36.07;40.19;2.50;00000000000000112334444445555567
349;136;432;29;34.12;40.50;2.48;00000000000000112334444445555567
350;135;434;27;34.56;40.57;2.50;00000000000000112334444445555567
351;133;437;26;34.99;40.62;2.54;00000000000000112334444445555567
352;132;439;27;34.57;40.60;2.57;00000000000000112334444445555567
353;133;441;25;34.53;40.81;2.55;00000000000000112334444445555567
354;127;447;24;36.11;41.16;2.61;00000000000000112334444445555567
355;124;452;25;36.34;41.66;2.60;00000000000000112334444445555567
356;124;455;25;36.01;41.88;2.63;00000000000000112334444445555567
357;123;457;25;35.96;42.13;2.59;00000000000000112334444445555567
358;122;461;25;35.93;42.72;2.55;00000000000000112334444445555567
359;123;462;25;35.33;42.67;2.54;00000000000000112334444445555567
360;123;465;26;34.36;42.69;2.58;00000000000000112334444445555567
361;121;468;28;33.93;42.71;2.60;00000000000000112334444445555567
362;120;471;29;33.58;42.76;2.64;00000000000000112334444445555567
363;117;474;29;34.13;43.29;2.65;00000000000000112334444445555567
364;117;477;28;33.85;43.47;2.68;00000000000000112334444445555567
365;116;479;29;33.49;43.45;2.72;00000000000000112334444445555567
366;114;481;28;34.13;43.78;2.70;00000000000000112334444445555567
367;113;482;27;34.50;43.74;2.73;00000000000000112334444445555567
368;109;486;27;35.50;44.82;2.72;00000000000000112334444445555567
369;108;489;28;35.22;44.76;2.77;00000000000000112334444445555567
370;103;495;29;36.34;45.16;2.88;00000000000000112334444445555567
371;103;497;29;36.15;45.26;2.85;00000000000000112334444445555567
372;103;500;30;35.17;45.73;2.78;00000000000000112334444445555567
373;103;501;30;34.96;45.71;2.76;00000000000000112334444445555567
374;101;504;30;35.47;45.86;2.72;00000000000000112334444445555567
375;99;508;30;36.02;46.59;2.70;00000000000000112334444445555567
376;102;509;31;34.40;46.68;2.70;00000000000000112334444445555567
377;101;512;31;34.56;46.81;2.73;00000000000000112334444445555567
378;99;515;33;34.27;46.94;2.77;00000000000000112334444445555567
379;101;516;32;33.81;46.87;2.76;00000000000000112334444445555567
380;102;518;31;33.70;47.09;2.74;00000000123333333333345677777777
381;103;520;31;33.19;47.14;2.75;00000000123333333333345677777777
382;106;521;30;32.44;47.03;2.75;00000000123333333333345677777777
383;103;526;31;32.82;47.36;2.81;00000000123333333333345677777777
384;103;528;31;32.62;48.31;2.75;00000000123333333333345677777777
385;100;532;31;33.41;48.91;2.77;00000000123333333333345677777777
386;102;533;32;32.19;49.21;2.75;00000000123333333333345677777777
387;101;535;30;33.10;49.14;2.75;00000000123333333333345677777777
388;101;535;25;34.87;49.01;2.75;00000000123333333333345677777777
389;97;539;27;35.31;49.34;2.80;00000000123333333333345677777777
390;98;539;29;33.96;49.22;2.80;00000000123333333333345677777777
391;94;543;30;34.83;49.90;2.79;00000000123333333333345677777777
392;92;545;32;34.59;49.85;2.82;00000000123333333333345677777777
393;92;546;34;33.60;50.08;2.75;00000000123333333333345677777777
394;92;547;35;33.04;49.98;2.77;00000000123333333333345677777777
395;92;550;37;32.10;50.11;2.80;00000000000122333333333345566777
396;88;555;39;32.58;50.78;2.83;00000000000122333333333345566777
397;86;558;39;33.28;50.92;2.88;00000000000122333333333345566777
398;86;561;39;33.27;51.48;2.88;00000000000122333333333345566777
399;86;563;39;33.23;51.52;2.92;00000000000122333333333345566777
400;86;564;38;33.64;51.43;2.92;00000000000122333333333345566777
401;84;567;39;33.93;51.61;2.98;00000000000122333333333345566777
402;84;568;40;33.42;51.53;3.00;00000000000122333333333345566777
403;80;572;40;35.09;52.31;3.08;00000000000122333333333345566777
404;83;572;41;33.35;52.18;3.04;00000000000122333333333345566777
405;83;575;42;32.88;52.40;3.08;00000000000122333333333345566777
406;82;577;42;33.27;52.94;3.09;00000000000122333333333345566777
407;81;579;42;33.68;53.00;3.12;00000000000122333333333345566777
408;81;580;42;33.68;52.92;3.15;00000000000122333333333345566777
409;82;581;44;32.29;52.82;3.15;00000000000122333333333345566777
410;83;582;45;31.41;52.89;3.12;00000000000122333333333345566777
411;81;586;44;32.70;53.93;3.01;00000000000122333333333345566777
412;82;589;44;32.37;54.78;2.89;00000000000122333333333345566777
413;86;589;43;31.31;54.65;2.85;00000000123333333333445677777777
414;88;590;45;29.65;54.68;2.84;00000000123333333333445677777777
415;89;591;44;29.70;54.57;2.85;00000000123333333333445677777777
416;92;591;45;28.21;54.44;2.83;00000000123333333333445677777777
417;90;595;45;28.74;54.88;2.77;00000000123333333333445677777777
418;89;597;47;28.09;55.34;2.75;00000000123333333333445677777777
419;87;599;46;29.11;55.59;2.69;00000000123333333333445677777777
420;86;601;47;28.94;56.04;2.65;00000000123333333333445677777777
421;85;603;47;29.24;56.01;2.71;00000000123333333333445677777777
422;84;606;46;30.05;56.23;2.71;00000000123333333333445677777777
423;81;611;46;31.19;57.09;2.64;00000000123333333333445677777777
424;80;614;46;31.60;57.70;2.64;00001111111112333333333444456777
